Ngày giao dịch,Mã sản phẩm,Danh mục sản phẩm,Số lượng bán,Giá bán,Doanh thu
2023-12-14,SP00056,Giày,3,1412515,4237545
2023-08-20,SP00059,Túi xách,10,1298295,12982950
2023-01-20,SP00176,Áo,9,1910683,17196147
2023-04-27,SP00194,Quần,8,189963,1519704
2023-08-31,SP00319,Váy,7,1053111,7371777
2023-10-06,SP00474,Váy,7,902727,6319089
2023-06-24,SP00149,Váy,9,1818780,16369020
2023-02-07,SP00353,Quần,1,1410571,1410571
2023-09-01,SP00197,Túi xách,5,1012871,5064355
2023-05-11,SP00379,Áo,8,1429663,11437304
2023-05-04,SP00358,Giày,7,1243120,8701840
2023-07-17,SP00091,Phụ kiện,7,1205415,8437905
2023-07-15,SP00134,Quần,3,1085227,3255681
2023-01-15,SP00467,Giày,5,1334806,6674030
2023-01-24,SP00166,Túi xách,3,1163217,3489651
2023-11-01,SP00377,Giày,4,429643,1718572
2023-06-19,SP00490,Mũ,7,1298903,9092321
2023-04-12,SP00292,Mũ,3,1727407,5182221
2023-09-13,SP00246,Áo,2,1733758,3467516
2023-04-11,SP00451,Giày,4,993969,3975876
2023-11-09,SP00221,Váy,7,1284385,8990695
2023-01-24,SP00007,Túi xách,1,1886681,1886681
2023-07-09,SP00038,Áo,6,1666674,10000044
2023-05-27,SP00086,Giày,6,179477,1076862
2023-11-30,SP00207,Phụ kiện,8,1108660,8869280
2023-07-21,SP00155,Áo,3,531889,1595667
2023-03-12,SP00445,Áo,9,1472239,13250151
2023-08-28,SP00341,Váy,4,422937,1691748
2023-02-16,SP00301,Váy,6,354187,2125122
2023-01-18,SP00349,Phụ kiện,10,1224674,12246740
2023-07-09,SP00250,Túi xách,8,234745,1877960
2023-02-04,SP00345,Quần,6,1466515,8799090
2023-08-09,SP00385,Phụ kiện,1,806251,806251
2023-07-07,SP00258,Phụ kiện,8,852626,6821008
2023-05-25,SP00471,Mũ,9,1912010,17208090
2023-05-23,SP00337,Đầm,5,982914,4914570
2023-01-05,SP00384,Mũ,10,1941854,19418540
2023-02-24,SP00029,Đầm,2,130070,260140
2023-11-20,SP00206,Phụ kiện,7,1015330,7107310
2023-03-22,SP00358,Giày,10,1161898,11618980
2023-10-28,SP00484,Túi xách,8,1546286,12370288
2023-12-19,SP00170,Phụ kiện,3,1873800,5621400
2023-05-27,SP00126,Váy,6,165935,995610
2023-01-27,SP00126,Túi xách,8,1248349,9986792
2023-08-04,SP00436,Váy,5,618974,3094870
2023-02-26,SP00321,Phụ kiện,5,620130,3100650
2023-05-01,SP00187,Túi xách,6,837655,5025930
2023-08-14,SP00237,Váy,9,1261719,11355471
2023-06-19,SP00322,Đầm,5,860657,4303285
2023-12-01,SP00145,Giày,9,148282,1334538
2023-10-16,SP00298,Áo,7,128390,898730
2023-12-15,SP00186,Túi xách,5,216317,1081585
2023-09-25,SP00018,Áo,2,877975,1755950
2023-03-05,SP00303,Đầm,4,369114,1476456
2023-02-15,SP00212,Phụ kiện,9,1977064,17793576
2023-04-08,SP00161,Mũ,7,116295,814065
2023-03-21,SP00123,Giày,6,1879488,11276928
